Player,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17
Jaylen Waddle,16.2,8.5,6.6,7.6,8.6,,2.1,8.5,7.6,8.6,5.7,28.4,11.3,20.9,0,,0
Tank Dell,8.9,2.3,11.2,,7.3,18.7,0,13.5,18.6,8.3,9.8,10.2,3.3,,6.1,21.8,
Jalen Tolbert,2.2,14.2,13.2,5.4,21.7,8.3,,7.4,10.9,4.4,4.1,10.2,6.1,0,8.1,10,12
Chris Godwin,22.3,24.7,17.3,12.9,11.6,35.5,13.5,,,,,,,,,,
Romeo Doubs,9,9.2,2.8,7.9,,19.9,17.4,10.2,6.8,,2.7,8.4,,,19,4,14.8
Adam Thielen,7.9,4,13,,,,,,,,,8.7,23.9,19.2,10.1,15.3,28
RayRay McCloud III,9.2,7.5,5.7,11.2,12.6,4.3,2.9,5.6,12.5,6.6,10.6,,13.3,16.1,2.4,5.7,3.7
Nick WestbrookIkhine,0,0,0,0,,7.9,9,11.9,16,6.1,19.7,12.8,21.1,2.9,2.9,9.7,6.7
Michael Wilson,7.5,5.1,14.4,4.8,12.8,10.1,2.5,14.1,0,5.4,,7.4,10.5,13.7,2.9,6.4,6.9
Tre Tucker,4.2,3.3,22.6,15.4,4.6,0,7.7,5.3,2.5,,6.5,15.2,13.9,2.7,3.8,5.3,10.9
Amari Cooper,3.6,4.1,27.6,7.5,10,8.2,16.6,1.3,,,7.5,,4.2,15.5,0,2,14.6
Stefon Diggs,21.9,7.7,19.9,18.5,14.2,19.7,7.3,12.7,,,,,,,,,
Calvin Austin III,1.7,1.6,19.5,2.7,1.6,5.6,4.6,20.4,,4,0.9,16.8,10.9,1.4,11.5,10.5,7.1
Xavier Legette,7.5,0,6.2,19.6,1.8,11.3,2.9,13.4,13.9,7,,9.6,9.3,5.9,2.9,,7.8
Andrei Iosivas,5.6,14.7,16.2,3.9,4.9,5.6,0,0,8,4.9,7.6,,12.5,8.1,1.5,14.3,8.9
Jalen McMillan,10.2,3.1,1.6,,,0,5.6,9.2,,,,2.1,4.5,21.9,18.5,16.7,23
Tyler Lockett,13.7,3.5,9.6,11.1,11.5,16.5,8.5,1.9,15.3,,3.9,4,4.6,0,3.2,3.9,5
Elijah Moore,3.9,10.4,3.7,2.1,4.1,1.3,10.1,16.5,5.8,,18.6,5.1,19.2,6.4,1.9,4.1,1.1
Demarcus Robinson,8.2,7,4.2,5.7,11.8,,1.9,17.5,27.4,3.3,3.9,9.5,12.9,0,0,0,0
Darius Slayton,5.6,6.3,1.7,8.6,26.2,11.7,2.1,14.8,9,,,0,2.8,4.7,2.6,3.7,10.2
Allen Lazard,26.9,3.1,13.8,10.8,13.4,23.4,9.8,,,,,,,2.8,0,4,1.9
Marvin Mims Jr.,0,2,1.9,0,3.4,0,3.8,1.8,1.4,7,13.3,7.2,19.9,,6,9.5,30.2
Joshua Palmer,3.5,3.9,,6.6,,5.8,10.3,9.2,14.3,4.6,4.3,6.8,4.1,13.8,3,9.1,8.1
Keon Coleman,9.1,0,9.4,8.1,11.9,5.6,16.5,18,5.1,,,,,,7.4,2.7,11.7
Christian Watson,10.3,0,8.7,0,,15.8,1.5,7.9,8.7,,19,0.4,8.7,13.4,8.6,2.3,
Olamide Zaccheaus,2.5,4.4,0,14.5,2,6.7,6.5,0,6.8,0.2,2,1.8,4.4,,6.6,24,23.3
Dontayvion Wicks,0,11.6,0,24.8,4,1.9,13.8,3.1,0,,0,3.5,7,8.9,3.4,10.3,8.3
Kayshon Boutte,,,1.2,2.1,5.4,14.9,4.3,7.6,3.8,8.7,7.3,3.6,9.1,,3.9,20.5,6.8
